DLiP-ID,I000KJ
DLiP-Mol-ID,28538
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H9N3O3/c15-10(14-7-4-2-1-3-5-7)8-9(11(16)17)13-6-12-8/h1-6H,(H,12,13)(H,14,15)(H,16,17)"
Standard Inchi Key(RDKit),JRYSJLPNUUHTER-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccccc1)c1nc[nH]c1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),231.211
MW Monoisotopic(RDKit),231.064391148
MolLogP(RDKit),1.3602
XLogP(SDF),
XLogP(CDK),1.314
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),95.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.742737895830848
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,10734.036943027091
qed,0.7427378958308478
Chi0,12.25071237662706
Chi1,8.181540550352056
TPSA,95.08
Chi0n,8.675025387065398
Chi0v,8.675025387065398
Chi1n,4.813019512828755
Chi1v,4.813019512828755
Chi2n,3.2514453682194007
Chi2v,3.2514453682194007
Chi3n,2.0999392815687834
Chi3v,2.0999392815687834
Chi4n,1.3412486621549198
Chi4v,1.3412486621549198
MolMR,59.94220000000001
MolWt,231.21099999999998
fr_SH,0
Kappa1,10.873562313931481
Kappa2,4.47983235631143
Kappa3,2.3072929645559985
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,548.0991160333468
MolLogP,1.3601999999999999
NOCount,6
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,2.2077186428161992
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,48.04701140676951
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,96.3143300922066
NHOHCount,3
PEOE_VSA1,15.407294519794245
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,12.13273413692322
PEOE_VSA8,5.687386274683562
PEOE_VSA9,6.3273200747645415
RingCount,2
SMR_VSA10,17.563871291986917
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,231.064391148
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,11.387855989696922
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,26.95096945403848
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,20.976930357840565
SlogP_VSA6,36.65915541707259
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.876485017303356
EState_VSA2,11.387855989696922
EState_VSA3,5.687386274683562
EState_VSA4,0.0
EState_VSA5,6.3273200747645415
EState_VSA6,24.26546827384644
EState_VSA7,6.06636706846161
EState_VSA8,15.284745645900749
EState_VSA9,5.106527394840706
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,48.33333333333333
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,1
fr_imidazole,1
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.6300000000000003
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,17
HeavyAtomMolWt,222.13899999999995
MaxEStateIndex,11.743522297808012
MinEStateIndex,-1.2215632611069116
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2352941176470589
FpDensityMorgan2,1.9411764705882353
FpDensityMorgan3,2.588235294117647
MaxPartialCharge,0.3543309368902322
MinPartialCharge,-0.47650554853834953
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.743522297808012
MinAbsEStateIndex,0.1376360544217683
NumAliphaticRings,0
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.47650554853834953
MinAbsPartialCharge,0.3543309368902322
NumRadicalElectrons,0
NumValenceElectrons,86
fr_para_hydroxylation,1
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,231.064391148
MZ,0.7692307692307693
Mi,1.1295837076345143
Mm,0.740382213739969
Mp,0.6927023721787197
Mv,0.6867889664782602
SZ,20.0
Si,29.369176398497373
Sm,19.249937557239196
Sp,18.01026167664671
Sv,17.856513128434763
nB,0
nC,11
nF,0
nH,9
nI,0
nN,3
nO,3
nP,0
nS,0
nX,0
ABC,12.93477111702175
AMW,8.88709196723077
IC0,1.7737917249750144
IC1,3.349692968957871
IC2,3.994111719041081
IC3,4.517559429596343
IC4,4.700439718141092
IC5,4.700439718141092
MID,34.03265617140246
Mpe,1.0149321266968327
Mse,1.0375651296991428
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,59.94220000000001
SdO,22.53202632905014
SdS,0
Spe,26.38823529411765
SsF,0
SsI,0
Sse,26.976693372177714
StN,0
fMF,0.5
nBr,0
nCl,0
AMID,2.001920951258968
BIC0,0.34865939670216284
BIC1,0.6584211174571687
BIC2,0.7850891188149599
BIC3,0.8879788551902362
BIC4,0.9239261032098017
BIC5,0.9239261032098017
CIC0,2.9266479931660774
CIC1,1.3507467491832208
CIC2,0.7063279991000107
CIC3,0.18288028854474891
CIC4,0.0
CIC5,0.0
GGI1,3.0
GGI2,1.7777777777777786
GGI3,0.9930555555555556
GGI4,1.0511111111111113
GGI5,0.2602777777777777
GGI6,0.23356009070294775
GGI7,0.12850765306122447
GGI8,0.06323223733938019
GGI9,0.03125
JGI1,0.16666666666666669
JGI2,0.07407407407407411
JGI3,0.04513888888888889
JGI4,0.05005291005291006
JGI5,0.016267361111111107
JGI6,0.016682863621639125
JGI7,0.010708971088435373
JGI8,0.009033176762768599
JGI9,0.015625
MIC0,17.626811107005384
MIC1,32.52562010493453
MIC2,39.07553447247701
MIC3,41.61540157957458
MIC4,41.799744910427684
MIC5,41.799744910427684
MPC2,24
MPC3,30
MPC4,37
MPC5,37
MPC6,31
MPC7,30
MPC8,31
MPC9,26
Mare,1.0309230769230768
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.22293103276707202
RPCG,0.16577217609441205
SIC0,0.37736718931404684
SIC1,0.7126339597612353
SIC2,0.8497315056772293
SIC3,0.9610929403394043
SIC4,1.0
SIC5,1.0
SaaN,3.6850987339380197
SaaO,0
SaaS,0
Sare,26.804
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,8.81826562106324
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,46.11858484935037
TIC1,87.09201719290465
TIC2,103.8469046950681
TIC3,117.45654516950492
TIC4,122.21143267166839
TIC5,122.21143267166839
Vabc,193.20512852812703
WPol,22
apol,30.077136999999993
bpol,13.044862999999998
nRot,3
ABCGG,11.817066555278355
ATS0Z,744.0
ATS0d,93.0
ATS0i,4249.070831045741
ATS0m,2952.5420569999997
ATS0p,40.23902814364101
ATS0s,202.3888888888889
ATS0v,6317.55446967912
ATS1Z,778.0
ATS1d,113.0
ATS1i,4082.330971221151
ATS1m,3001.305149999999
ATS1p,48.82309844599999
ATS1s,115.83333333333334
ATS1v,7590.268587413588
ATS2Z,1107.0
ATS2d,161.0
ATS2i,6287.114111468601
ATS2m,4227.170311999999
ATS2p,68.46043325000001
ATS2s,204.00000000000003
ATS2v,10398.091571881252
ATS3Z,1093.0
ATS3d,161.0
ATS3i,8021.918577509647
ATS3m,4074.3325140000006
ATS3p,69.03587497624498
ATS3s,219.8888888888889
ATS3v,10204.913604531117
ATS4Z,1083.0
ATS4d,134.0
ATS4i,7734.524732158593
ATS4m,4064.400676999999
ATS4p,58.12454294109401
ATS4s,254.19444444444449
ATS4v,9059.857078554513
ATS5Z,856.0
ATS5d,114.0
ATS5i,6853.979402510744
ATS5m,3140.4243879999995
ATS5p,49.883720730245
ATS5s,265.4444444444445
ATS5v,7539.766807350482
ATS6Z,671.0
ATS6d,98.0
ATS6i,5332.596999581946
ATS6m,2471.099122
ATS6p,45.335838619396
ATS6s,140.5
ATS6v,6755.306313147548
ATS7Z,607.0
ATS7d,86.0
ATS7i,4736.457095700399
ATS7m,2213.595128000001
ATS7p,42.088661810849004
ATS7s,126.99999999999997
ATS7v,6129.335131551214
ATS8Z,429.0
ATS8d,61.0
ATS8i,4788.299483012396
ATS8m,1469.5296349999996
ATS8p,31.139087873396
ATS8s,123.33333333333331
ATS8v,4354.352997937164
C1SP1,0
C1SP2,2
C1SP3,0
C2SP1,0
C2SP2,8
C2SP3,0
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.0
JGI10,0.0
JGT10,0.40424991226649387
Kier1,13.432098765432098
Kier2,6.25
Kier3,3.4844444444444442
MAXdO,11.743522297808012
MID_C,22.777491575866463
MID_N,6.0577805806636
MID_O,5.197384014872394
MID_X,0.0
MID_h,11.255164595535994
MINdO,10.788504031242127
MPC10,24
MWC01,18.0
MWC02,4.442651256490317
MWC03,5.262690188904886
MWC04,6.115892125483034
MWC05,6.955592608396297
MWC06,7.81237820598861
MWC07,8.659907293615413
MWC08,9.518192651217346
MWC09,10.369953682201691
MWC10,11.229248693912288
NaaCH,6
NaaNH,1
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.3601999999999999
SRW02,3.6109179126442243
SRW03,0.0
SRW04,4.890349128221754
SRW05,2.3978952727983707
SRW06,6.3578422665081
SRW07,4.59511985013459
SRW08,7.9102237070973445
SRW09,6.6052979209482015
SRW10,9.50651131182387
SaaCH,9.905519389854708
SaaNH,2.4004004472159233
SaaSe,0
SaaaC,0
SaasC,0.21909533257747627
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.7818873351809854
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.5548148148148146
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.573297195840429
VE1_D,4.067882027127985
VE2_A,0.21019395269649582
VE2_D,0.23928717806635208
VE3_A,1.8041170048812214
VE3_D,1.9337507286136102
VR1_A,110.73094434821218
VR1_D,79.8951905679718
VR2_A,6.513584961659539
VR2_D,4.699717092233635
VR3_A,5.237731585122096
VR3_D,4.91134390888094
WPath,538
Xc-3d,1.0453252659366894
Xc-4d,0.0
Xc-5d,0.2878633639084475
Xc-6d,0.0
Xp-0d,12.25071237662706
Xp-1d,8.181540550352056
Xp-2d,7.219651806023119
Xp-3d,5.641927971023403
Xp-4d,4.675051034939895
Xp-5d,3.2162258342663184
Xp-6d,1.6606904891486904
Xp-7d,1.014862101687326
ZMIC0,55.59742294784799
ZMIC1,36.40731566297065
ZMIC2,26.50161893915338
ZMIC3,22.230413153049508
ZMIC4,21.694337160651195
ZMIC5,21.694337160651195
nAcid,1
nAtom,26
nBase,0
nRing,2
piPC1,3.2771447329921766
piPC2,3.82319179172153
piPC3,4.345427482225552
piPC4,4.863198139155803
piPC5,5.113116669003238
piPC6,5.044231243524771
piPC7,5.124335934029084
piPC8,5.517703868984534
piPC9,5.5575517380066
AATS0Z,28.615384615384617
AATS0d,3.576923076923077
AATS0i,163.42580119406696
AATS0m,113.55930988461537
AATS0p,1.5476549286015773
AATS0s,7.784188034188035
AATS0v,242.9828642184277
AATS1Z,28.814814814814813
AATS1d,4.185185185185185
AATS1i,151.19744337856113
AATS1m,111.15944999999995
AATS1p,1.808262905407407
AATS1s,4.290123456790123
AATS1v,281.12105879309587
AATS2Z,27.0
AATS2d,3.926829268292683
AATS2i,153.3442466211854
AATS2m,103.10171492682925
AATS2p,1.6697666646341465
AATS2s,4.975609756097562
AATS2v,253.61198955807933
AATS3Z,21.86
AATS3d,3.22
AATS3i,160.43837155019293
AATS3m,81.48665028
AATS3p,1.3807174995248996
AATS3s,4.397777777777779
AATS3v,204.09827209062234
AATS4Z,23.04255319148936
AATS4d,2.851063829787234
AATS4i,164.56435600337431
AATS4m,86.47661014893615
AATS4p,1.2366924030020003
AATS4s,5.408392434988181
AATS4v,192.76291656498964
AATS5Z,20.878048780487806
AATS5d,2.7804878048780486
AATS5i,167.17022932953034
AATS5m,76.59571678048779
AATS5p,1.2166761153718293
AATS5s,6.474254742547427
AATS5v,183.89675139879225
AATS6Z,20.333333333333332
AATS6d,2.9696969696969697
AATS6i,161.59384847218018
AATS6m,74.88179157575757
AATS6p,1.3738132914968484
AATS6s,4.257575757575758
AATS6v,204.70625191356206
AATS7Z,20.233333333333334
AATS7d,2.8666666666666667
AATS7i,157.8819031900133
AATS7m,73.7865042666667
AATS7p,1.4029553936949668
AATS7s,4.2333333333333325
AATS7v,204.31117105170713
AATS8Z,14.793103448275861
AATS8d,2.103448275862069
AATS8i,165.11377527628952
AATS8m,50.67343568965516
AATS8p,1.0737616508067587
AATS8s,4.25287356321839
AATS8v,150.15010337714358
AMID_C,1.3398524456392038
AMID_N,0.35634003415668236
AMID_O,0.305728471463082
AMID_X,0.0
AMID_h,0.6620685056197644
ATS0dv,288.0
ATS0pe,178.3131
ATS0se,214.07190800000004
ATS1dv,271.0
ATS1pe,185.9545
ATS1se,219.325296
ATS2dv,386.0
ATS2pe,281.16630000000004
ATS2se,332.9888
ATS3dv,372.0
ATS3pe,333.3649
ATS3se,402.55663999999996
ATS4dv,374.0
ATS4pe,323.77889999999996
ATS4se,390.28617200000014
ATS5dv,280.0
ATS5pe,284.43790000000007
ATS5se,345.0809920000001
ATS6dv,194.0
ATS6pe,219.3755
ATS6se,266.85782399999994
ATS7dv,159.0
ATS7pe,197.3365
ATS7se,238.866896
ATS8dv,99.0
ATS8pe,187.25100000000003
ATS8se,231.87631600000003
ATSC0Z,190.15384615384616
ATSC0c,1.0815085232854171
ATSC0d,15.115384615384615
ATSC0i,42.67527394138831
ATSC0m,896.4448831153845
ATSC0p,5.445406216072961
ATSC0s,75.96153846153845
ATSC0v,1123.6887932679388
ATSC1Z,-8.390532544378676
ATSC1c,-0.6994659621390793
ATSC1d,3.495562130177512
ATSC1i,-4.374059271588388
ATSC1m,-34.52435238905338
ATSC1p,0.3697711834449248
ATSC1s,-10.876725838264296
ATSC1v,80.7212553584914
ATSC2Z,-8.857988165680442
ATSC2c,0.08856213710932329
ATSC2d,-1.7588757396449715
ATSC2i,-9.365687958249566
ATSC2m,-51.38069229733737
ATSC2p,-1.4204971631387466
ATSC2s,17.468770545693623
ATSC2v,-314.9800034765997
ATSC3Z,7.319526627218934
ATSC3c,0.16358622932091751
ATSC3d,-4.22189349112426
ATSC3i,-3.9954616344634695
ATSC3m,26.321792585798853
ATSC3p,-1.3348168976685026
ATSC3s,-1.1610782380013107
ATSC3v,-233.54562828856558
ATSC4Z,39.5680473372781
ATSC4c,-0.24382666411316511
ATSC4d,-5.593195266272186
ATSC4i,-7.610857404247798
ATSC4m,180.30795171449705
ATSC4p,-1.8136000003988535
ATSC4s,-0.5544049967126912
ATSC4v,-112.93901578896595
ATSC5Z,-24.473372781065088
ATSC5c,0.3237278079696256
ATSC5d,3.1642011834319526
ATSC5i,14.2485384663615
ATSC5m,-114.33320102810646
ATSC5p,1.8037299350549827
ATSC5s,18.272189349112423
ATSC5v,106.40777420580035
ATSC6Z,-29.118343195266267
ATSC6c,-0.2261162880918503
ATSC6d,-2.184911242603551
ATSC6i,3.2258151779400137
ATSC6m,-126.22640587721898
ATSC6p,1.3336682397807027
ATSC6s,-25.025969756738988
ATSC6v,184.30051418251108
ATSC7Z,-55.48520710059171
ATSC7c,0.08688885842810894
ATSC7d,-5.863905325443788
ATSC7i,-9.990944046900978
ATSC7m,-265.103081556213
ATSC7p,-1.9913237727716864
ATSC7s,-4.968441814595661
ATSC7v,-392.89638182769954
ATSC8Z,-51.71005917159763
ATSC8c,-0.024431152885816855
ATSC8d,-0.9748520710059161
ATSC8i,-6.707637252993949
ATSC8m,-242.84399905177509
ATSC8p,-1.2575078341114188
ATSC8s,-16.070348454963842
ATSC8v,-263.77553989284326
AXp-0d,0.7206301398015917
AXp-1d,0.4545300305751142
AXp-2d,0.3008188252509633
AXp-3d,0.1880642657007801
AXp-4d,0.12635273067405123
AXp-5d,0.08692502254773833
AXp-6d,0.05357066094028034
AXp-7d,0.03382873672291087
GATS1Z,0.7036212992928204
GATS1c,1.6049445768256427
GATS1d,0.7963434172085572
GATS1i,1.2533964805533797
GATS1m,0.7027195913653974
GATS1p,0.9047581363023539
GATS1s,0.7100328176277543
GATS1v,0.7775938612470108
GATS2Z,0.7487518746546689
GATS2c,0.8279821685583147
GATS2d,1.14969279463787
GATS2i,1.2594762924945275
GATS2m,0.7596085282869659
GATS2p,1.1250855467727283
GATS2s,0.48831944015642686
GATS2v,1.0461107597647712
GATS3Z,0.8940129449838187
GATS3c,0.8074391754592051
GATS3d,1.1908396946564885
GATS3i,1.0508062281555883
GATS3m,0.9010624177393305
GATS3p,1.0843916399574314
GATS3s,0.8265330520393812
GATS3v,1.0645292115364364
GATS4Z,0.8825440680300213
GATS4c,1.2014093988736554
GATS4d,1.196470142385361
GATS4i,1.0588357142661615
GATS4m,0.8827285294487002
GATS4p,1.0974787924762666
GATS4s,1.1261259239309331
GATS4v,0.969862892981534
GATS5Z,1.1415660273107586
GATS5c,0.8908296349817834
GATS5d,0.8673121082355862
GATS5i,0.7039216073547896
GATS5m,1.134066782891428
GATS5p,0.7146884276345046
GATS5s,1.246329456965456
GATS5v,0.8611838266199768
GATS6Z,1.0836520545258408
GATS6c,1.0340051694303352
GATS6d,1.1276891047883415
GATS6i,0.8915521580357184
GATS6m,1.0739742261402279
GATS6p,0.7832047510775154
GATS6s,1.2847355410646553
GATS6v,0.8417595945793779
GATS7Z,1.1218985976267528
GATS7c,0.8092717513377166
GATS7d,1.1301950805767602
GATS7i,1.2057566844019596
GATS7m,1.1289905932637225
GATS7p,1.2881225708457047
GATS7s,0.7734177215189874
GATS7v,1.260381636784615
GATS8Z,1.3509931927240264
GATS8c,0.9807241074441433
GATS8d,0.7984557339650786
GATS8i,0.9667801106434264
GATS8m,1.3487996858458358
GATS8p,1.1909272524686758
GATS8s,1.2608152674717494
GATS8v,1.255943633322344
MATS1Z,-0.042490710775500304
MATS1c,-0.6227965854092771
MATS1d,0.22269343134483066
MATS1i,-0.09870017664395916
MATS1m,-0.037086131336265454
MATS1p,0.06539015461829692
MATS1s,-0.13788404438193463
MATS1v,0.06917536216414687
MATS2Z,-0.02954061094008988
MATS2c,0.05192872180928464
MATS2d,-0.07379134860050895
MATS2i,-0.13917231702294505
MATS2m,-0.03634677229567061
MATS2p,-0.16542440422621466
MATS2s,0.14583376213508972
MATS2v,-0.17775688254211444
MATS3Z,0.02001618122977346
MATS3c,0.07865387781546677
MATS3d,-0.14524173027989823
MATS3i,-0.0486848673256206
MATS3m,0.015268459224228356
MATS3p,-0.12746611717209702
MATS3s,-0.007948241912798847
MATS3v,-0.10807594365773511
MATS4Z,0.11511051435653791
MATS4c,-0.12471731157245891
MATS4d,-0.20469925829678945
MATS4i,-0.09865810231371673
MATS4m,0.11126710211793579
MATS4p,-0.1842411833970667
MATS4s,-0.004037465960439314
MATS4v,-0.0555998268609995
MATS5Z,-0.08161654432078301
MATS5c,0.18981894329438523
MATS5d,0.13274995345373303
MATS5i,0.2117305339868178
MATS5m,-0.0808794634286987
MATS5p,0.21005388650840626
MATS5s,0.15254090768755788
MATS5v,0.06005052388182315
MATS6Z,-0.12064822987153082
MATS6c,-0.16472568005314028
MATS6d,-0.11388696121520553
MATS6i,0.05955559549089312
MATS6m,-0.11093945599334577
MATS6p,0.19296428484790526
MATS6s,-0.2595712398244044
MATS6v,0.1292230256183843
MATS7Z,-0.2528856526429341
MATS7c,0.06962837155975696
MATS7d,-0.3362171331636981
MATS7i,-0.2029001193026474
MATS7m,-0.25629685476804925
MATS7p,-0.3169302468763709
MATS7s,-0.056686357243319274
MATS7v,-0.3030289165683733
MATS8Z,-0.24380649481084699
MATS8c,-0.020253000111286168
MATS8d,-0.05782223392120727
MATS8i,-0.14091869105100585
MATS8m,-0.2428729419367942
MATS8p,-0.20704071873679333
MATS8s,-0.18967360201755668
MATS8v,-0.21045721599534772
MAXaaN,3.6850987339380197
MAXsOH,8.81826562106324
MINaaN,3.6850987339380197
MINsOH,8.81826562106324
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,21.454625354550476
SpAD_D,130.4891224687773
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,305
TMWC10,105.36650670620989
TSRW10,62.874157370176455
VE1_Dt,4.065462904408453
VE2_Dt,0.239144876729909
VE3_Dt,1.9331558632018435
VR1_Dt,79.52962266766217
VR2_Dt,4.678213098097775
VR3_Dt,4.906757815491632
Xc-3dv,0.2984096155375748
Xc-4dv,0.0
Xc-5dv,0.0367971980887556
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.2381448361039201
Xch-7d,0.36368916137902285
Xp-0dv,8.675025387065398
Xp-1dv,4.813019512828754
