DLiP-ID,P000FE
Xp-5dv,2.5616748265672005
Xp-6dv,1.6424430200898927
Xp-7dv,0.9738978490726156
Xpc-4d,5.99325358637938
Xpc-5d,9.788257146952915
Xpc-6d,15.399912800108496
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,56
nFRing,1
nHBAcc,3
nHBDon,3
nHRing,1
nSpiro,0
naRing,3
piPC10,7.468448611158185
AATS0dv,10.066758116140832
AATS0pe,6.813390740740738
AATS0se,8.19642609259259
AATS1dv,8.698412698412698
AATS1pe,6.717580357142857
AATS1se,7.956036249999998
AATS2dv,7.5177304964539005
AATS2pe,6.624822340425532
AATS2se,7.933561659574465
AATS3dv,6.519713261648746
AATS3pe,6.703381451612904
AATS3se,8.042855096774193
AATS4dv,5.449494949494949
AATS4pe,6.335022727272727
AATS4se,7.812806779220779
AATS5dv,7.207803223070398
AATS5pe,6.963693129770993
AATS5se,8.33921389312977
AATS6dv,6.594860166288738
AATS6pe,6.891674829931972
AATS6se,8.267292653061226
AATS7dv,4.7662170841361595
AATS7pe,6.6375236994219655
AATS7se,8.069631005780346
AATS8dv,3.495636998254799
AATS8pe,6.316064921465967
AATS8se,7.8256531518324595
AATSC0Z,10.614883401920439
AATSC0c,0.02806794472961387
AATSC0d,0.7712620027434843
AATSC0i,2.2661006474260885
AATSC0m,50.351634583336676
AATSC0p,0.24774703092879188
AATSC0s,3.459543346010605
AATSC0v,47.518681784480755
AATSC1Z,-0.08082255535959301
AATSC1c,-0.014128205892209963
AATSC1d,0.2231163041348226
AATSC1i,-0.14443085457996413
AATSC1m,-0.3003457164194653
AATSC1p,0.005896012602959256
AATSC1s,-0.2070801475692787
AATSC1v,1.554319977239174
AATSC2Z,1.5691197501678196
AATSC2c,0.0016285446475270075
AATSC2d,-0.016336864839622878
AATSC2i,-0.14961667795368677
AATSC2m,7.497426007097745
AATSC2p,0.026504587423311854
AATSC2s,0.3490981995401564
AATSC2v,6.993876463572766
AATSC3Z,-1.9683780255763534
AATSC3c,0.0032438727926058495
AATSC3d,0.09522545245364843
AATSC3i,-0.009154820868468621
AATSC3m,-9.371680902937749
AATSC3p,-0.04603713574229239
AATSC3s,0.09356906705366748
AATSC3v,-11.942631970793176
AATSC4Z,2.8912493542123165
AATSC4c,-0.0049656192491249855
AATSC4d,0.06375483227335083
AATSC4i,-0.04645972616374404
AATSC4m,13.774106037079205
AATSC4p,0.03578212848567137
AATSC4s,-0.02408167581432941
AATSC4v,14.799555391255105
AATSC5Z,-1.1170038429721783
AATSC5c,0.0021418094114589795
AATSC5d,-0.11081529649525124
AATSC5i,0.0900924267237093
AATSC5m,-5.349525137535854
AATSC5p,0.0006027324910778417
AATSC5s,-0.35737274257162777
AATSC5v,-2.4538443750729764
AATSC6Z,-1.0335027014921196
AATSC6c,0.0007278819466762499
AATSC6d,-0.19315668654292986
AATSC6i,0.18105817626639736
AATSC6m,-4.933328305848078
AATSC6p,-0.002632295847246972
AATSC6s,-0.08071176319316833
AATSC6v,-3.002044060723347
AATSC7Z,-0.9425434318926078
AATSC7c,-0.0015124255940869786
AATSC7d,-0.12782376681969912
AATSC7i,-0.27453989869533774
AATSC7m,-4.615496412817191
AATSC7p,-0.04361505902671058
AATSC7s,-0.13584901334100372
AATSC7v,-10.752004993353568
AATSC8Z,0.8737727935420394
AATSC8c,0.001165050446200858
AATSC8d,-0.04554937912510145
AATSC8i,0.013407477384195609
AATSC8m,4.229359007314636
AATSC8p,0.0011678275039674973
AATSC8s,0.18662148224588104
AATSC8v,1.2040475456339765
ATS0are,364.2935999999999
ATS1are,367.75800000000004
ATS2are,611.177
ATS3are,817.8819
ATS4are,963.4440000000002
ATS5are,902.2459
ATS6are,1002.1489999999999
ATS7are,1132.2031000000002
ATS8are,1191.7291
ATSC0dv,259.8838591678098
ATSC0pe,10.898609259259256
ATSC0se,7.615394759259256
ATSC1dv,71.27362021372086
ATSC1pe,-0.7351577503429331
ATSC1se,-0.5923774725651543
ATSC2dv,46.31099595251404
ATSC2pe,2.027135733882028
ATSC2se,1.1382837894375937
ATSC3dv,63.759149181188526
ATSC3pe,-0.07888792866940347
ATSC3se,0.4723484046639247
ATSC4dv,143.91786482412908
ATSC4pe,2.5368902606309787
ATSC4se,-0.10019422085045683
ATSC5dv,-87.39131907398935
ATSC5pe,-2.9067409807955897
ATSC5se,-1.8787227307956351
ATSC6dv,-141.35782147030426
ATSC6pe,-2.99581594650204
ATSC6se,-1.6277104927983748
ATSC7dv,-144.03715558265168
ATSC7pe,-1.50401299725651
ATSC7se,0.09622303052126145
ATSC8dv,-45.390302968720924
ATSC8pe,2.815552434842226
ATSC8se,1.7305477589163532
AXp-0dv,0.5707546473376122
AXp-1dv,0.2943447279957617
AXp-2dv,0.17333000501861834
AXp-3dv,0.07824523566837477
AXp-4dv,0.04155462680776315
AXp-5dv,0.0218946566373265
AXp-6dv,0.012076786912425683
AXp-7dv,0.006536227174983997
BertzCT,1236.40493605269
ECIndex,683
ETA_eta,32.04565928030518
GATS1dv,0.43952614034920146
GATS1pe,0.6280571985994136
GATS1se,0.6623287653993115
GATS2dv,0.713646458406596
GATS2pe,0.5521477474824608
GATS2se,0.5677388716327193
GATS3dv,0.7314858054322788
GATS3pe,0.7992271590734187
GATS3se,0.762676073214186
GATS4dv,0.7729555358763474
GATS4pe,0.7375616684066506
GATS4se,0.7876035684650114
GATS5dv,1.1110457652368018
GATS5pe,1.0534439903629729
GATS5se,1.109858119414021
GATS6dv,1.1489304427076918
GATS6pe,0.9970749802790408
GATS6se,1.0272779364580689
GATS7dv,1.093544929192516
GATS7pe,0.9089435701011496
GATS7se,0.9103499035245546
GATS8dv,1.0125812117267625
GATS8pe,0.7839992818534604
GATS8se,0.7694598659859918
LogEE_A,4.414910484150936
LogEE_D,182.551724832065
MATS1dv,0.26445710786962745
MATS1pe,-0.06504519058703237
MATS1se,-0.07500873589838936
MATS2dv,0.10236953248809338
MATS2pe,0.10685076926714959
MATS2se,0.08586655445941148
MATS3dv,0.10684034469837872
MATS3pe,-0.003152183891755919
MATS3se,0.027011089800483522
MATS4dv,0.19418176261126044
MATS4pe,0.08162132446423491
MATS4se,-0.004613423150167422
MATS5dv,-0.13861539009926746
MATS5pe,-0.10994050192398472
MATS5se,-0.10169339195491611
MATS6dv,-0.19980988105752773
MATS6pe,-0.10097653662988372
MATS6se,-0.07851654256205895
MATS7dv,-0.17299871842329714
MATS7pe,-0.043075285403696574
MATS7se,0.003943976029061498
MATS8dv,-0.04937921333891612
MATS8pe,0.07303868238382598
MATS8se,0.06424680885078213
MAXaaCH,1.5286242544666067
MAXaaNH,2.725054687559648
MAXaaaC,0.3422539657379129
MAXaasC,0.33515064980231823
MAXdsCH,0.33255698678648415
MAXdssC,-0.7263577622406985
MAXsCH3,1.718477127880537
MAXssNH,2.7273276836454747
MAXsssN,0.9557657785336353
MDEC-11,1.5000000000000004
MDEC-12,3.2300620623572853
MDEC-13,5.254032659311227
MDEC-14,3.0
MDEC-22,6.659379329054047
MDEC-23,22.819241515680606
MDEC-24,1.246359450962315
MDEC-33,15.259520891602174
MDEC-34,2.1167175655274626
MDEN-22,0.19999999999999996
MDEN-23,0.5773502691896258
MDEO-11,1.1759842003401275
MINaaCH,0.9010140393967505
MINaaNH,2.725054687559648
MINaaaC,0.34073690896111586
MINaasC,-1.1185156053162009
MINdsCH,0.33255698678648415
MINdssC,-1.363836359280984
MINsCH3,1.718477127880537
MINssNH,2.7273276836454747
MINsssN,0.9557657785336353
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,2.742296918767507
SM1_Dzi,2.2073527995146707
SM1_Dzm,2.8213255649541362
SM1_Dzp,-9.646186893500731
SM1_Dzv,-3.5639824978261947
SddssSe,0
SpAD_Dt,613.826022499647
SpAbs_A,39.95093236784865
SpAbs_D,365.1034496641299
SpMAD_A,1.2106343141772318
SpMAD_D,11.063740898913029
SpMax_A,2.534986470276429
SpMax_D,182.551724832065
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,102.5
TpiPC10,8.926453692068028
VAdjMat,6.129283016944966
VE1_DzZ,5.656828437881957
VE1_Dzi,5.652954822016845
VE1_Dzm,5.657318628783266
VE1_Dzp,5.627192279720404
VE1_Dzv,5.6472202529190705
VE2_DzZ,0.17141904357218052
VE2_Dzi,0.17130166127323773
VE2_Dzm,0.17143389784191718
VE2_Dzp,0.17052097817334558
VE2_Dzv,0.17112788645209304
VE3_DzZ,2.926785856970697
VE3_Dzi,2.9261008542739053
VE3_Dzm,2.9268725079393874
VE3_Dzp,2.921533079251512
VE3_Dzv,2.9250859019298887
VR1_DzZ,218.96635937363888
VR1_Dzi,219.7240448798846
VR1_Dzm,218.89230544685302
VR1_Dzp,223.72916915381697
VR1_Dzv,221.0784015040344
VR2_DzZ,6.635344223443602
VR2_Dzi,6.658304390299533
VR2_Dzm,6.633100165056152
VR2_Dzp,6.779671792539908
VR2_Dzv,6.699345500122254
VR3_DzZ,6.582840576323653
VR3_Dzi,6.586294886025015
VR3_Dzm,6.582502321386881
VR3_Dzp,6.604358722539551
VR3_Dzv,6.592439865015276
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.03125
Xch-6dv,0.11786411016899623
Xch-7dv,0.19473613083795016
Xpc-4dv,2.1768544782902106
Xpc-5dv,3.0995436391046343
Xpc-6dv,3.9583911723039944
Zagreb1,174.0
Zagreb2,204.0
fragCpx,169.1
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,16
nBondsD,3
nBondsM,19
nBondsO,35
nBondsS,37
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,10
naHRing,1
AATS0are,6.746177777777776
AATS1are,6.567107142857144
AATS2are,6.501882978723405
AATS3are,6.595821774193548
AATS4are,6.256129870129872
AATS5are,6.8873732824427485
AATS6are,6.817340136054421
AATS7are,6.544526589595376
AATS8are,6.239419371727749
AATSC0dv,4.812664058663144
AATSC0pe,0.20182609739368992
AATSC0se,0.1410258288751714
AATSC1dv,1.2727432181021583
AATSC1pe,-0.013127816970409519
AATSC1se,-0.010578169152949183
AATSC2dv,0.4926701697075962
AATSC2pe,0.021565273764702426
AATSC2se,0.01210940201529355
AATSC3dv,0.5141866869450687
AATSC3pe,-0.0006361929731403506
AATSC3se,0.0038092613279348767
AATSC4dv,0.934531589767072
AATSC4pe,0.016473313380720642
AATSC4se,-0.0006506118237042651
AATSC5dv,-0.6671093059083156
AATSC5pe,-0.022188862448821296
AATSC5se,-0.014341394891569733
AATSC6dv,-0.9616178331313215
AATSC6pe,-0.02037970031634041
AATSC6se,-0.011072860495227039
AATSC7dv,-0.8325847143505878
AATSC7pe,-0.008693716747147456
AATSC7se,0.0005562024885622049
AATSC8dv,-0.23764556528126138
AATSC8pe,0.014741112224304848
AATSC8se,0.009060459470766247
AETA_eta,0.9710805842516721
ATSC0are,11.933533333333333
ATSC1are,-0.8767160493827142
ATSC2are,2.038501234567898
ATSC3are,0.7690493827160534
ATSC4are,1.4260308641975064
ATSC5are,-2.7370012345678743
ATSC6are,-2.990829629629604
ATSC7are,-1.9219827160493779
ATSC8are,2.5301950617283646
BCUTZ-1h,17.001103993512544
BCUTZ-1l,5.675143241574587
BCUTc-1h,0.5534450531728061
BCUTc-1l,-0.3555328142540235
BCUTd-1h,4.01708043533065
BCUTd-1l,0.9573567220528665
BCUTi-1h,17.425863854467863
BCUTi-1l,10.935636375871184
BCUTm-1h,35.45051782275173
BCUTm-1l,11.686634567347348
BCUTp-1h,2.2079445104140354
BCUTp-1l,0.5435759267436987
BCUTs-1h,8.003011382222484
BCUTs-1l,1.1971186306684374
BCUTv-1h,22.4558683637513
BCUTv-1l,13.303120533341522
BalabanJ,1.8969509680234167
Diameter,13
ETA_beta,41.5
GATS1are,0.6474335326383193
GATS2are,0.5641872934258438
GATS3are,0.7746159484982497
GATS4are,0.7620333450843272
GATS5are,1.0628916599248428
GATS6are,1.014419978367709
GATS7are,0.9208311133998169
GATS8are,0.7777982778550637
HybRatio,0.21739130434782608
Lipinski,True
LogEE_Dt,306.9130112498235
MATS1are,-0.07084278715201087
MATS2are,0.09813136377959182
MATS3are,0.02806449630597303
MATS4are,0.041901822584268535
MATS5are,-0.09454278837835924
MATS6are,-0.09206595214970097
MATS7are,-0.05027222232430038
MATS8are,0.05994394840789545
MAXssCH2,-0.31258103601522946
MAXssssC,-0.7245267517909117
MINssCH2,-0.31258103601522946
MINssssC,-0.7245267517909117
NsssssAs,0
RotRatio,0.2
SM1_Dzpe,2.430067292016845
SM1_Dzse,2.2515523528738783
SMR_VSA1,28.27096904240581
SMR_VSA2,0.0
SMR_VSA3,15.200676855804018
SMR_VSA4,0.0
SMR_VSA5,32.85489325736779
SMR_VSA6,0.0
SMR_VSA7,75.9179492139932
SMR_VSA8,0.0
SMR_VSA9,0.0
SpAD_DzZ,291.02016294298096
SpAD_Dzi,285.50985052067745
SpAD_Dzm,290.6725483597048
SpAD_Dzp,400.9171668558729
SpAD_Dzv,357.19906434970034
SpAbs_Dt,613.826022499647
SpDiam_A,4.961257741098974
SpDiam_D,246.86521538391483
SpMAD_Dt,18.600788560595365
SpMax_Dt,306.9130112498235
SsssssAs,0
VE1_Dzpe,5.6544011753003485
VE1_Dzse,5.654260897400218
VE2_Dzpe,0.17134549016061662
VE2_Dzse,0.17134123931515813
VE3_Dzpe,2.926356679471544
VE3_Dzse,2.9263318705420285
VMcGowan,326.3800000000011
VR1_Dzpe,219.37678293659366
VR1_Dzse,219.41428113180166
VR2_Dzpe,6.647781301108899
VR2_Dzse,6.648917610054596
VR3_Dzpe,6.584713190005834
VR3_Dzse,6.584884105953628
mZagreb1,13.895833333333334
mZagreb2,7.097222222222222
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,1
n9FaRing,1
n9aHRing,0
nBondsKD,10
nBondsKS,46
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.22099135802469136
AATSC1are,-0.01565564373897704
AATSC2are,0.021686183346467002
AATSC3are,0.006202011150935914
AATSC4are,0.009259940676607185
AATSC5are,-0.020893139195174614
AATSC6are,-0.020345779793398668
AATSC7are,-0.011109726682366346
AATSC8are,0.013247094564022852
AETA_beta,1.2575757575757576
BCUTdv-1h,7.005355269989072
BCUTdv-1l,0.773991941712944
BCUTpe-1h,3.990790740044428
BCUTpe-1l,2.2233849407350577
BCUTse-1h,4.012395309606619
BCUTse-1l,2.4194080192257514
ETA_alpha,15.319047619047621
ETA_dBeta,-0.5
ETA_eta_B,1.0073090422947715
ETA_eta_F,40.328682480259864
ETA_eta_L,7.0199767218383435
ETA_eta_R,72.37434176056504
ETA_psi_1,0.5058971536405098
LabuteASA,192.88663424675283
LogEE_DzZ,145.5931813781198
LogEE_Dzi,142.82181473911191
LogEE_Dzm,145.4217688939419
LogEE_Dzp,198.91503521327567
LogEE_Dzv,178.0595348266947
PEOE_VSA1,10.423315998847038
PEOE_VSA2,19.47296261994133
PEOE_VSA3,13.575367279421462
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.667306958694127
PEOE_VSA7,50.60013136461531
PEOE_VSA8,16.62792563458628
PEOE_VSA9,6.544756405912575
SM1_Dzare,2.596955978915772
SpAD_Dzpe,290.8850522729022
SpAD_Dzse,293.4891572361609
SpAbs_DzZ,288.4440658374723
SpAbs_Dzi,283.4362766787092
SpAbs_Dzm,288.0222122229296
SpAbs_Dzp,407.4762573200522
SpAbs_Dzv,359.68305215121575
SpDiam_Dt,420.25097262402926
SpMAD_DzZ,8.818792816453968
SpMAD_Dzi,8.65181365214174
SpMAD_Dzm,8.808259041203176
SpMAD_Dzp,12.149005056238572
SpMAD_Dzv,10.824214071203041
SpMax_DzZ,145.5931813781198
SpMax_Dzi,142.82181473911191
SpMax_Dzm,145.4217688939419
SpMax_Dzp,198.91503521327567
SpMax_Dzv,178.0595348266947
VE1_Dzare,5.653837308484624
VE2_Dzare,0.17132840328741283
VE3_Dzare,2.926256952742752
VR1_Dzare,219.41014052977948
VR2_Dzare,6.648792137266045
VR3_Dzare,6.5848652346154894
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,1
nAromAtom,15
nAromBond,16
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4642135642135643
AETA_dBeta,-0.015151515151515152
AETA_eta_B,0.030524516433174893
AETA_eta_F,1.222081287280602
AETA_eta_L,0.21272656732843465
AETA_eta_R,2.1931618715322743
BCUTare-1h,4.1096273234522025
BCUTare-1l,2.173077611137057
ETA_beta_s,21.0
ETA_dPsi_A,0.20810284635949017
ETA_dPsi_B,0.0
ETA_eta_BR,1.2653090422947715
ETA_eta_FL,8.38692779823998
ETA_eta_RL,15.406904520078324
LogEE_Dzpe,145.5161645392395
LogEE_Dzse,146.81280747725845
PEOE_VSA10,10.902924932081056
PEOE_VSA11,11.63444168209179
PEOE_VSA12,23.709315621809537
PEOE_VSA13,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,38.81592122244121
SlogP_VSA3,16.133830774056218
SlogP_VSA4,17.67628251123975
SlogP_VSA5,42.386579761386145
SlogP_VSA6,36.39820241076966
SlogP_VSA7,5.022633313741326
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
SpAD_Dzare,288.18188215657653
SpAbs_Dzpe,288.6022617864621
SpAbs_Dzse,291.3740626016431
SpDiam_DzZ,199.31461945229
SpDiam_Dzi,194.73298000627057
SpDiam_Dzm,199.12112407861292
SpDiam_Dzp,270.88425909038324
SpDiam_Dzv,243.51270619675557
SpMAD_Dzpe,8.814698553724309
SpMAD_Dzse,8.89361082533821
SpMax_Dzpe,145.5161645392395
SpMax_Dzse,146.81280747725845
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,33
AETA_beta_s,0.6363636363636364
AETA_eta_BR,0.038342698251356715
AETA_eta_FL,0.2541493272193934
AETA_eta_RL,0.466875894547828
DetourIndex,4897
EState_VSA1,29.049851951778493
EState_VSA2,29.40742821330299
EState_VSA3,22.335653551938506
EState_VSA4,17.032643867773697
EState_VSA5,24.26546827384644
EState_VSA6,20.771211599071872
EState_VSA7,0.0
EState_VSA8,10.30076712495354
EState_VSA9,11.600939890232516
ETA_beta_ns,20.5
ETA_shape_p,0.26888405346596206
ETA_shape_x,0.03263910475598383
ETA_shape_y,0.38514143612060925
GhoseFilter,True
LogEE_Dzare,144.169636714013
SlogP_VSA10,8.78083009534964
SlogP_VSA11,0.0
SpAbs_Dzare,285.74231744911026
SpDiam_Dzpe,198.82014325762785
SpDiam_Dzse,200.61996539905212
SpMAD_Dzare,8.732784307775047
SpMax_Dzare,144.169636714013
TopoPSA(NO),102.5
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,27.097091938347212
VSA_EState9,62.06977235485606
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.6212121212121212
EState_VSA10,28.27096904240581
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.035786435786435714
FilterItLogS,-6.233635525769021
SpDiam_Dzare,196.9104346452052
ETA_beta_ns_d,2.0
ETA_epsilon_1,0.6774250440917098
ETA_epsilon_2,0.9176046176046172
ETA_epsilon_3,0.43894736842105175
ETA_epsilon_4,0.5997198879551807
ETA_epsilon_5,0.8661375661375659
AETA_beta_ns_d,0.06060606060606061
ETA_dEpsilon_A,0.23847767567065803
ETA_dEpsilon_B,0.07770515613652906
ETA_dEpsilon_C,-0.16077251953412897
ETA_dEpsilon_D,0.05146705146705133
PetitjeanIndex,0.46153846153846156
TopoShapeIndex,0.8571428571428571
CDK Descriptors
FMFDescriptor,0.5454545454545454
MDEDescriptor,"1.5000000000000004,3.2300620623572853,5.254032659311227,3.0,6.659379329054047,22.819241515680606,1.246359450962315,15.259520891602174,2.1167175655274626,0.0,1.1759842003401275,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.5773502691896258,0.0"
APolDescriptor,64.28465299999998
BCUTDescriptor,"11.849999999999998,34.9688541631888,-0.3271420029383374,0.3023464196428839,4.020982787952542,12.254641679803406"
BPolDescriptor,31.957346999999995
TPSADescriptor,102.5
ALOGPDescriptor,"4.583899999999998,21.012139209999983,114.94989999999997"
XLogPDescriptor,4.734999999999999
VAdjMaDescriptor,6.129283016944966
WeightDescriptor,476.11886544000004
ChiPathDescriptor,"24.499271042140983,15.406904520078331,15.420176965371097,11.170840363965896,9.569086723399755,7.78188551349959,5.851842011035412,4.059938703447217,19.0740496738793,10.64816127351271,9.545443607188124,5.65655459202024,4.360260485428586,3.063726315752079,2.0554203742561876,1.2613592935448075"
ChiChainDescriptor,"0.0,0.0,0.07856742013183861,0.33791571692436834,0.7478646575266648,0.0,0.0,0.03125,0.12533743241081188,0.2141810736059641"
AtomCountDescriptor,54
BondCountDescriptor,35
SmallRingDescriptor,"3,3,2,2,0,0,1,2,0,0,0"
ChiClusterDescriptor,"3.9216206486579104,0.35355339059327373,0.6326726669483322,0.0,2.344177122943351,0.25,0.1778507552230938,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,2,11,3,4,1,1,0"
ZagrebIndexDescriptor,174.0
LargestChainDescriptor,14
MannholdLogPDescriptor,2.8899999999999997
WeightedPathDescriptor,"65.80554043052356,1.9941072857734414,26.99340425522833,9.926367722703201,9.487165235807934"
FractionalPSADescriptor,0.21528237471807748
WienerNumbersDescriptor,"2905.0,54.0"
AminoAcidCountDescriptor,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.993253586379376,9.788257146952912,14.30933489546682,2.50347981076713,3.7931994999689174,4.668013163833503"
FractionalCSP3Descriptor,0.21739130434782608
KierHallSmartsDescriptor,"0,0,0,0,0,0,3,0,1,0,1,6,0,0,0,2,6,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,1
HBondDonorCountDescriptor,3
LargestPiSystemDescriptor,19
PetitjeanNumberDescriptor,0.46153846153846156
AcidicGroupCountDescriptor,1
KappaShapeIndicesDescriptor,"27.58530612244898,11.372781065088757,6.816568047337278"
AromaticAtomsCountDescriptor,15
AromaticBondsCountDescriptor,16
FragmentComplexityDescriptor,2080.1
HBondAcceptorCountDescriptor,6
HybridizationRatioDescriptor,0.22727272727272727
AutocorrelationDescriptorMass,"47.89485523192731,40.60698230328177,62.93635115103354,67.0750982847347,72.80706269818157"
PetitjeanShapeIndexDescriptor,"0.8571428571428571,NaN"
RotatableBondsCountDescriptor,9
AutocorrelationDescriptorCharge,"0.7970931242436498,-0.41383444528858115,-0.02379834022515321,0.2691892653963337,-0.3062963372271892"
EccentricConnectivityIndexDescriptor,683
AutocorrelationDescriptorPolarizability,"2293.7944940630655,2747.210893411726,4008.919133574602,4227.871950814339,4448.697344951847"
